Track,Artist,Kind,Album,Genre
Put The Finger On You,AC/DC,MPEG audio file,For Those About To Rock We Salute You,Rock
Overdose,AC/DC,MPEG audio file,Let There Be Rock,Rock
Snowballed,AC/DC,MPEG audio file,For Those About To Rock We Salute You,Rock
Night Of The Long Knives,AC/DC,MPEG audio file,For Those About To Rock We Salute You,Rock
Spellbound,AC/DC,MPEG audio file,For Those About To Rock We Salute You,Rock
Bad Boy Boogie,AC/DC,MPEG audio file,Let There Be Rock,Rock
Whole Lotta Rosie,AC/DC,MPEG audio file,Let There Be Rock,Rock
C.O.D.,AC/DC,MPEG audio file,For Those About To Rock We Salute You,Rock
Go Down,AC/DC,MPEG audio file,Let There Be Rock,Rock
Hell Ain't A Bad Place To Be,AC/DC,MPEG audio file,Let There Be Rock,Rock
Dog Eat Dog,AC/DC,MPEG audio file,Let There Be Rock,Rock
Breaking The Rules,AC/DC,MPEG audio file,For Those About To Rock We Salute You,Rock
For Those About To Rock (We Salute You),AC/DC,MPEG audio file,For Those About To Rock We Salute You,Rock
Problem Child,AC/DC,MPEG audio file,Let There Be Rock,Rock
Let There Be Rock,AC/DC,MPEG audio file,Let There Be Rock,Rock
Evil Walks,AC/DC,MPEG audio file,For Those About To Rock We Salute You,Rock
Inject The Venom,AC/DC,MPEG audio file,For Those About To Rock We Salute You,Rock
Let's Get It Up,AC/DC,MPEG audio file,For Those About To Rock We Salute You,Rock
